               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.039968,            0.013404,            0.010429,             0.75394,             0.55513,             0.70466,             0.34802,            0.038915,           0.0063295,           0.0067258,            0.007591,            0.007591,            0.007591
                  75,            0.034788,            0.012145,           0.0063225,             0.55396,              0.5989,             0.64247,              0.2963,            0.040634,           0.0061845,           0.0060577,            0.007558,            0.007558,            0.007558
                  76,            0.045793,            0.014955,            0.010995,             0.59283,             0.56593,             0.64649,             0.40224,            0.036197,           0.0063843,           0.0069179,            0.007525,            0.007525,            0.007525
                  77,             0.03964,             0.01358,            0.011368,             0.99083,             0.57683,             0.68691,             0.38629,            0.040616,           0.0062555,           0.0080458,            0.007492,            0.007492,            0.007492
                  78,            0.040685,            0.013371,           0.0058352,             0.88834,              0.5989,             0.69089,              0.4086,             0.03705,           0.0062649,             0.01069,            0.007459,            0.007459,            0.007459
                  79,             0.03923,            0.012396,            0.011174,             0.90228,             0.58526,             0.67756,             0.40647,            0.039484,           0.0060609,            0.010784,            0.007426,            0.007426,            0.007426
                  80,            0.032424,            0.011721,           0.0081231,             0.93461,             0.56033,             0.67378,             0.42253,            0.036699,           0.0060999,            0.010623,            0.007393,            0.007393,            0.007393
                  81,            0.035649,            0.012486,           0.0076103,             0.94398,             0.56044,             0.67083,             0.40082,            0.036578,           0.0060615,            0.010683,             0.00736,             0.00736,             0.00736
                  82,            0.037204,            0.013645,           0.0058035,             0.84678,             0.56044,             0.65364,             0.40967,            0.038589,           0.0056675,            0.010828,            0.007327,            0.007327,            0.007327
                  83,            0.038023,            0.012586,           0.0077275,             0.90035,             0.52198,             0.63935,             0.42764,            0.035441,           0.0057685,            0.010064,            0.007294,            0.007294,            0.007294
                  84,            0.045207,            0.012907,           0.0096585,             0.89158,             0.52198,             0.67218,             0.39118,            0.033038,           0.0057576,            0.010146,            0.007261,            0.007261,            0.007261
                  85,            0.042929,            0.013181,           0.0082936,             0.85948,             0.55869,             0.69165,             0.42231,            0.031247,           0.0055491,            0.010768,            0.007228,            0.007228,            0.007228
                  86,            0.039431,            0.013001,           0.0075084,             0.72887,             0.62339,             0.66408,             0.46912,            0.029402,           0.0056939,             0.01073,            0.007195,            0.007195,            0.007195
                  87,            0.033461,            0.011609,           0.0074767,             0.75861,             0.59341,             0.68392,             0.44982,            0.030604,           0.0056163,            0.011459,            0.007162,            0.007162,            0.007162
                  88,            0.036052,            0.012487,            0.012905,             0.70237,             0.65423,             0.71221,             0.44772,            0.031879,           0.0055229,            0.013431,            0.007129,            0.007129,            0.007129
                  89,             0.03548,            0.011717,           0.0088402,             0.72474,             0.66288,             0.69984,             0.42316,            0.032537,            0.005713,            0.014224,            0.007096,            0.007096,            0.007096
                  90,            0.038309,            0.012801,           0.0073057,             0.74657,             0.66501,             0.74839,             0.40705,            0.032953,           0.0057039,            0.013459,            0.007063,            0.007063,            0.007063
                  91,            0.034039,            0.011137,           0.0087687,             0.67944,             0.64644,             0.70158,             0.37569,            0.032477,           0.0055727,             0.01275,             0.00703,             0.00703,             0.00703
                  92,            0.040018,            0.011299,           0.0085978,             0.74677,              0.7033,              0.7472,             0.38004,            0.030863,           0.0055226,            0.012358,            0.006997,            0.006997,            0.006997
                  93,            0.034608,            0.013002,            0.010647,             0.69646,             0.71021,             0.72047,             0.41701,            0.031609,           0.0055536,            0.011383,            0.006964,            0.006964,            0.006964
                  94,            0.032898,            0.013155,           0.0061481,             0.79436,             0.71886,             0.76272,             0.42355,            0.029361,           0.0055858,            0.010122,            0.006931,            0.006931,            0.006931
                  95,            0.031352,            0.011349,           0.0076496,             0.80714,             0.73497,             0.77326,             0.41837,            0.029733,            0.006049,           0.0083321,            0.006898,            0.006898,            0.006898
                  96,            0.031356,            0.011517,            0.007945,             0.80149,             0.73679,             0.76266,             0.40199,            0.033167,           0.0060635,           0.0083357,            0.006865,            0.006865,            0.006865
                  97,            0.036386,            0.011559,           0.0080396,             0.74785,             0.63187,             0.73851,             0.35442,            0.033637,              0.0062,           0.0098039,            0.006832,            0.006832,            0.006832
                  98,            0.032062,            0.013321,           0.0090057,             0.92579,             0.52198,             0.70694,             0.32633,            0.034783,            0.006488,           0.0085523,            0.006799,            0.006799,            0.006799
                  99,            0.033535,            0.011434,           0.0064155,             0.88825,             0.52198,             0.68568,             0.28631,            0.039888,           0.0061955,           0.0072351,            0.006766,            0.006766,            0.006766
                 100,            0.042869,            0.012489,           0.0074175,             0.83834,             0.73889,              0.7699,             0.35852,            0.035996,           0.0064012,           0.0065962,            0.006733,            0.006733,            0.006733
                 101,            0.037638,            0.012072,           0.0064205,             0.85896,             0.69736,             0.72115,             0.34747,            0.038307,           0.0063196,           0.0063426,              0.0067,              0.0067,              0.0067
